title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_miles,duration_seconds,rpe
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Hack Squat (Machine),,,0,normal,100,8,,,8
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Hack Squat (Machine),,,1,normal,100,8,,,
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Hack Squat (Machine),,,2,normal,100,8,,,
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Hack Squat (Machine),,,3,normal,100,8,,,
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Romanian Deadlift (Barbell),,En maquina belt squat,0,normal,60,12,,,
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Romanian Deadlift (Barbell),,En maquina belt squat,1,normal,60,12,,,
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Romanian Deadlift (Barbell),,En maquina belt squat,2,normal,60,10,,,
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Hip Thrust (Machine),,,0,normal,100,12,,,8
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Hip Thrust (Machine),,,1,normal,100,10,,,8.5
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Hip Thrust (Machine),,,2,normal,100,10,,,8.5
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Hip Thrust (Machine),,,3,normal,100,10,,,8.5
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Leg Extension (Machine),,,0,normal,90,20,,,
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Leg Extension (Machine),,,1,normal,90,17,,,
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Leg Press (Machine),,,0,normal,160,10,,,
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Leg Press (Machine),,,1,normal,160,10,,,
Legs,"Jun 3, 2026, 4:13 PM","Jun 3, 2026, 5:36 PM",,Leg Press (Machine),,,2,normal,160,10,,,
Pull,"Jun 2, 2026, 4:13 PM","Jun 2, 2026, 5:43 PM",,Lat Pulldown (Cable),,,0,normal,100,10,,,
Pull,"Jun 2, 2026, 4:13 PM","Jun 2, 2026, 5:43 PM",,Lat Pulldown (Cable),,,1,normal,100,10,,,
Pull,"Jun 2, 2026, 4:13 PM","Jun 2, 2026, 5:43 PM",,Lat Pulldown (Cable),,,2,normal,100,10,,,
Pull,"Jun 2, 2026, 4:13 PM","Jun 2, 2026, 5:43 PM",,Lat Pulldown (Cable),,,3,normal,100,10,,,
Pull,"Jun 2, 2026, 4:13 PM","Jun 2, 2026, 5:43 PM",,Pull Up,,,0,normal,,7,,,
Pull,"Jun 2, 2026, 4:13 PM","Jun 2, 2026, 5:43 PM",,Pull Up,,,1,normal,,7,,,
Pull,"Jun 2, 2026, 4:13 PM","Jun 2, 2026, 5:43 PM",,Pull Up,,,2,normal,,6,,,
Pull,"Jun 2, 2026, 4:13 PM","Jun 2, 2026, 5:43 PM",,Seated Cable Row - V Grip (Cable),,,0,normal,41,12,,,
Pull,"Jun 2, 2026, 4:13 PM","Jun 2, 2026, 5:43 PM",,Seated Cable Row - V Grip (Cable),,,1,normal,41,12,,,
Pull,"Jun 2, 2026, 4:13 PM","Jun 2, 2026, 5:43 PM",,Seated Cable Row - V Grip (Cable),,,2,normal,41,10,,,
Pull,"Jun 2, 2026, 4:13 PM","Jun 2, 2026, 5:43 PM",,Face Pull,,,0,normal,65,20,,,
Pull,"Jun 2, 2026, 4:13 PM","Jun 2, 2026, 5:43 PM",,Face Pull,,,1,normal,65,20,,,
Pull,"Jun 2, 2026, 4:13 PM","Jun 2, 2026, 5:43 PM",,Face Pull,,,2,normal,65,20,,,
Pull,"Jun 2, 2026, 4:13 PM","Jun 2, 2026, 5:43 PM",,Preacher Curl (Barbell),,,0,normal,27.5,12,,,8
